City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Manicore,BR,2022-07-21 15:19:43,-5.8092,-61.3003,85.95,70,0,3.44
225,Maniitsoq,GL,2022-07-21 15:19:43,65.4167,-52.9,43.93,95,100,16.28
226,San Quintin,MX,2022-07-21 15:19:44,30.4833,-115.95,69.87,81,100,9.69
227,Oberwart,AT,2022-07-21 15:19:44,47.2897,16.206,99.84,30,6,3.58
228,La Ronge,CA,2022-07-21 15:19:45,55.1001,-105.2842,61.02,67,100,21.85
229,Fortuna Foothills,US,2022-07-21 15:19:45,32.6578,-114.4119,93.22,39,75,17.27
230,Syamzha,RU,2022-07-21 15:19:46,60.0158,41.0614,73.44,52,49,5.35
231,Husavik,IS,2022-07-21 15:19:46,66.0449,-17.3389,51.73,76,61,8.01
232,Jardim,BR,2022-07-21 15:19:47,-21.4803,-56.1381,88.86,20,7,11.39
233,Bredasdorp,ZA,2022-07-21 15:20:47,-34.5322,20.0403,58.03,66,11,5.73
234,Riyadh,SA,2022-07-21 15:16:08,24.6877,46.7219,109.54,5,65,16.17
235,Saint-Francois,FR,2022-07-21 15:20:48,46.4154,3.9054,84.67,42,0,8.05
236,Padang,ID,2022-07-21 15:20:49,-0.9492,100.3543,77.85,89,100,3.09
237,Estelle,US,2022-07-21 15:20:49,29.8458,-90.1067,91.99,73,75,6.91
238,Xam Nua,LA,2022-07-21 15:20:50,20.4197,104.0439,68.13,99,98,2.06
239,Arawa,PG,2022-07-21 15:20:50,-6.2132,155.5367,78.73,87,97,3.8
240,Axim,GH,2022-07-21 15:20:51,4.8699,-2.2405,78.87,59,56,8.03
241,Palana,RU,2022-07-21 15:20:51,59.1167,159.9667,48.92,78,21,7.56
242,Ferme-Neuve,CA,2022-07-21 15:20:52,46.7001,-75.4493,77.27,55,9,13.18
243,Tyukhtet,RU,2022-07-21 15:20:52,56.5389,89.3011,57.34,94,100,5.82
244,Morant Bay,JM,2022-07-21 15:20:53,17.8815,-76.4093,92.71,70,41,12.66
245,Calama,CL,2022-07-21 15:20:53,-22.4667,-68.9333,63.09,14,0,12.66
246,Bambous Virieux,MU,2022-07-21 15:20:54,-20.3428,57.7575,70.21,83,75,14.97
